"Year","Cause","Sex","Deaths7","Deaths8","Deaths9","Deaths10","Deaths26","Deaths2534","Deaths3544","Deaths4559","Deaths6069","Deaths70up"
2000,"X630",2,0,0,1,0,0,0,0,0,0,0
2000,"X640",1,0,0,3,2,0,5,2,3,1,0
2000,"X640",2,0,0,6,0,0,1,2,1,0,1
2000,"X650",2,0,0,0,0,0,0,1,0,0,0
2000,"X660",1,0,0,0,0,0,0,1,0,0,0
2000,"X660",2,0,0,0,0,0,1,0,0,0,0
2000,"X670",1,0,0,0,1,0,1,0,0,0,0
2000,"X670",2,0,0,0,0,0,0,0,0,0,1
2000,"X680",1,0,0,6,18,0,25,28,25,5,3
2000,"X680",2,0,1,9,6,0,10,8,4,0,1
2000,"X690",1,0,1,2,8,0,12,10,17,3,2
2000,"X690",2,0,1,5,4,0,2,5,6,2,0
2000,"X700",1,0,14,87,180,2,352,368,357,145,134
2000,"X700",2,0,14,35,39,0,58,70,85,39,37
2000,"X710",1,0,0,0,0,0,0,1,2,0,1
2000,"X710",2,0,0,1,1,0,4,1,0,1,0
2000,"X720",1,0,1,12,16,0,25,13,13,12,7
2000,"X720",2,0,1,7,8,0,3,4,1,0,0
2000,"X730",1,0,0,1,5,0,5,3,2,2,1
2000,"X730",2,0,0,0,0,0,0,1,0,0,0
2000,"X740",1,0,1,28,48,1,74,62,77,41,33
2000,"X740",2,0,5,12,11,0,15,11,13,4,0
2000,"X760",1,0,0,0,2,0,1,3,4,1,2
2000,"X760",2,0,0,1,1,0,3,1,6,6,0
2000,"X770",1,0,0,0,0,0,0,1,0,0,0
2000,"X780",1,0,0,1,4,0,4,10,8,8,9
2000,"X780",2,0,0,0,3,0,2,1,6,1,0
2000,"X790",1,0,0,4,4,0,5,10,5,3,3
2000,"X790",2,0,0,0,1,0,2,5,1,2,2
2000,"X800",1,0,2,1,5,0,3,5,1,1,2
2000,"X800",2,0,0,3,3,0,3,4,8,2,4
2000,"X830",1,0,0,0,0,0,1,0,2,0,1
2000,"X830",2,0,0,2,0,0,0,0,0,1,0
2000,"X840",1,0,0,2,9,0,19,18,15,8,3
2000,"X840",2,0,2,2,3,0,2,3,6,1,2
2001,"X600",1,0,0,1,0,0,0,0,0,0,0
2001,"X610",1,0,0,1,2,0,1,3,2,0,0
2001,"X610",2,0,0,1,2,0,3,4,4,0,0
2001,"X630",1,0,0,0,0,0,1,0,0,0,0
2001,"X630",2,0,0,1,0,0,0,0,0,0,0
2001,"X640",1,0,0,2,4,0,6,9,2,1,0
2001,"X640",2,0,1,4,3,0,5,8,5,1,1
2001,"X650",1,0,0,0,0,0,0,1,1,0,0
2001,"X650",2,0,0,0,0,0,0,1,0,0,0
2001,"X660",1,0,0,0,0,0,0,1,0,1,0
