"Year","Cause","Sex","Deaths7","Deaths8","Deaths9","Deaths10","Deaths26","Total","Deaths2534","Deaths3544","Deaths4559","Deaths6069","Deaths70up"
2001,"X740",1,1,2,34,41,0,385,84,69,85,29,40
2001,"X740",2,0,6,9,12,0,71,12,18,10,2,2
2001,"X750",1,0,0,0,1,0,1,0,0,0,0,0
2001,"X760",1,0,0,0,2,0,8,0,3,2,0,1
2001,"X760",2,0,0,0,3,0,38,7,15,9,3,1
2001,"X770",1,0,0,0,0,0,1,0,0,1,0,0
2001,"X780",1,0,0,0,2,0,39,9,12,10,3,3
2001,"X780",2,0,0,0,0,0,10,3,3,3,1,0
2001,"X790",1,0,0,6,2,0,31,4,3,9,1,6
2001,"X790",2,0,0,0,1,0,7,0,3,2,1,0
2001,"X800",1,0,1,7,8,0,43,7,7,10,1,2
2001,"X800",2,0,0,3,2,0,33,5,2,10,3,8
2001,"X810",1,0,0,0,0,0,2,0,0,1,1,0
2001,"X830",1,0,0,0,0,0,8,3,2,2,0,1
2001,"X830",2,0,0,0,0,0,1,1,0,0,0,0
2001,"X840",1,0,1,6,6,0,78,19,19,17,2,8
2001,"X840",2,0,0,2,1,0,26,8,5,8,1,1
2002,"X610",1,0,0,1,1,0,8,3,0,1,2,0
2002,"X610",2,0,0,2,2,0,15,3,1,6,0,1
2002,"X620",1,0,0,0,1,0,3,1,1,0,0,0
2002,"X630",1,0,0,0,0,0,1,0,1,0,0,0
2002,"X640",1,0,2,0,1,0,31,8,9,8,2,1
2002,"X640",2,0,0,3,6,0,28,6,8,4,0,1
2002,"X650",1,0,0,0,1,0,3,1,0,0,0,1
2002,"X660",1,0,0,0,0,0,1,0,0,0,0,1
2002,"X660",2,0,0,0,1,0,1,0,0,0,0,0
2002,"X670",1,0,0,1,0,0,11,5,3,1,0,1
2002,"X670",2,0,0,0,0,0,1,0,0,0,0,1
2002,"X680",1,0,0,7,15,0,119,29,35,23,6,4
2002,"X680",2,0,4,10,14,0,70,20,9,9,2,2
2002,"X690",1,0,0,2,6,0,52,17,10,14,1,2
2002,"X690",2,0,2,6,4,0,44,13,11,5,1,2
2002,"X700",1,1,22,141,252,2,2104,449,425,464,186,162
2002,"X700",2,0,20,49,46,0,465,76,84,108,45,37
2002,"X710",1,0,0,0,2,0,11,4,1,2,1,1
2002,"X710",2,0,0,1,0,0,8,2,0,1,2,2
2002,"X720",1,0,0,9,19,0,127,24,22,29,13,11
2002,"X720",2,0,4,2,4,0,24,4,3,5,2,0
2002,"X730",1,0,1,2,4,0,22,4,4,7,0,0
2002,"X730",2,0,0,0,0,0,1,1,0,0,0,0
2002,"X740",1,0,4,35,64,0,408,88,67,78,37,35
2002,"X740",2,0,1,11,9,0,67,16,15,10,5,0
2002,"X750",1,0,0,0,0,0,1,0,0,1,0,0
2002,"X760",1,0,0,2,1,1,16,3,2,3,1,3
2002,"X760",2,0,1,0,0,0,26,2,9,6,2,6
2002,"X770",1,0,0,0,0,0,1,0,1,0,0,0
2002,"X770",2,0,0,0,1,0,1,0,0,0,0,0
2002,"X780",1,0,0,1,1,0,52,11,13,13,6,7
2002,"X780",2,0,0,0,1,0,12,1,1,4,2,3
2002,"X790",1,0,0,3,5,0,29,7,3,6,3,2
2002,"X790",2,0,0,1,0,0,10,2,5,1,1,0
2002,"X800",1,0,0,5,4,0,42,12,7,7,2,5
2002,"X800",2,0,0,0,4,0,23,4,6,7,1,1
2002,"X810",2,0,0,0,0,0,1,0,0,1,0,0
2002,"X830",2,0,0,1,0,0,3,0,0,1,0,1
2002,"X840",1,0,1,5,6,0,65,11,12,17,8,5
2002,"X840",2,0,0,0,2,0,34,7,8,12,5,0
2003,"X600",1,0,0,0,0,0,4,0,3,0,1,0
2003,"X610",1,0,0,1,0,0,11,1,5,2,0,2
2003,"X610",2,0,0,0,2,0,24,12,5,4,1,0
2003,"X620",1,0,0,1,1,0,3,1,0,0,0,0
2003,"X620",2,0,0,0,0,0,1,0,0,1,0,0
2003,"X640",1,0,0,1,6,0,32,6,6,11,2,0
2003,"X640",2,0,0,6,0,0,29,8,12,3,0,0
2003,"X650",1,0,0,0,0,0,4,1,1,2,0,0
2003,"X650",2,0,0,0,2,0,5,2,0,1,0,0
2003,"X660",1,0,0,0,0,0,4,1,0,3,0,0
2003,"X670",1,0,0,0,1,0,3,0,0,2,0,0
2003,"X670",2,0,0,0,0,0,1,1,0,0,0,0
2003,"X680",1,1,0,3,16,0,141,33,35,34,12,7
2003,"X680",2,0,0,11,16,0,82,19,13,19,1,3
2003,"X690",1,0,0,1,11,0,71,14,14,21,5,5
2003,"X690",2,0,3,8,7,0,37,4,5,10,0,0
2003,"X700",1,4,30,150,251,4,2206,461,469,476,204,157
2003,"X700",2,0,16,58,48,0,482,88,95,96,40,41
2003,"X710",1,0,0,0,0,0,4,2,1,0,1,0
2003,"X710",2,0,0,0,0,0,5,0,2,1,2,0
2003,"X720",1,0,2,8,16,0,133,35,29,24,9,10
2003,"X720",2,0,2,6,4,0,28,5,3,5,1,2
2003,"X730",1,0,0,2,2,0,35,9,9,9,1,3
2003,"X730",2,0,0,0,0,0,1,0,0,0,0,1
2003,"X740",1,0,5,30,44,0,366,74,67,79,32,35
2003,"X740",2,0,2,7,6,0,60,11,16,12,4,2
2003,"X750",1,0,0,0,0,0,2,2,0,0,0,0
2003,"X760",1,0,0,1,0,0,9,2,3,1,0,2
2003,"X760",2,0,0,2,1,0,13,0,6,1,3,0
2003,"X770",1,0,0,0,0,0,1,0,0,1,0,0
2003,"X780",1,0,0,1,2,0,42,11,15,9,1,3
2003,"X780",2,0,0,0,0,0,11,2,2,3,3,1
2003,"X790",1,0,0,2,4,0,34,9,6,6,1,6
2003,"X790",2,0,0,0,5,0,12,1,2,2,1,1
2003,"X800",1,0,0,8,7,0,37,5,6,5,3,3
2003,"X800",2,0,1,2,7,0,30,8,6,2,1,3
2003,"X830",1,0,0,0,0,0,2,0,2,0,0,0
2003,"X830",2,0,0,0,0,0,1,0,0,1,0,0
2003,"X840",1,0,1,2,3,0,54,14,11,16,3,4
2003,"X840",2,0,0,5,5,0,38,6,4,9,1,8
2004,"X600",2,0,1,0,0,0,1,0,0,0,0,0
2004,"X610",1,0,1,1,0,0,17,5,6,3,1,0
2004,"X610",2,0,1,1,3,0,32,14,6,6,1,0
2004,"X620",1,0,0,0,0,0,1,0,1,0,0,0
2004,"X630",2,0,0,0,0,0,1,1,0,0,0,0
2004,"X640",1,0,0,0,3,0,31,7,11,8,1,1
2004,"X640",2,0,1,3,3,0,23,4,7,1,3,1
2004,"X650",2,0,0,0,0,0,3,1,1,1,0,0
2004,"X660",1,0,0,0,1,0,1,0,0,0,0,0
2004,"X660",2,0,1,1,0,0,3,0,0,0,0,1
2004,"X670",1,0,0,0,1,0,5,2,1,1,0,0
2004,"X670",2,0,0,1,0,0,3,0,1,1,0,0
2004,"X680",1,0,0,5,18,1,130,25,32,34,11,4
2004,"X680",2,0,3,15,16,0,84,14,18,13,4,1
2004,"X690",1,0,0,3,7,0,51,7,16,9,7,2
2004,"X690",2,0,1,5,5,0,29,3,4,8,2,1
2004,"X700",1,3,16,166,292,3,2369,541,473,508,194,173
2004,"X700",2,0,15,50,53,0,502,102,87,108,40,47
2004,"X710",1,0,0,0,1,0,6,1,1,1,1,1
2004,"X710",2,0,0,0,0,0,2,0,0,0,1,1
2004,"X720",1,0,1,10,19,0,137,29,24,32,12,10
2004,"X720",2,0,2,1,4,0,23,5,8,2,0,1
2004,"X730",1,0,0,2,5,0,28,6,6,5,2,2
2004,"X730",2,0,0,0,0,0,2,1,0,1,0,0
2004,"X740",1,0,3,30,40,0,387,83,59,86,34,52
2004,"X740",2,0,0,12,11,0,58,15,6,8,4,2
2004,"X750",1,0,0,0,0,0,1,0,0,1,0,0
2004,"X760",1,0,0,0,2,0,21,5,3,7,1,3
2004,"X760",2,0,0,2,1,0,24,2,6,7,4,2
2004,"X770",1,0,0,0,0,0,1,0,1,0,0,0
2004,"X770",2,0,0,0,0,0,1,0,1,0,0,0
2004,"X780",1,0,0,1,2,0,48,10,6,14,4,11
2004,"X780",2,0,0,0,0,0,15,1,1,10,1,2
2004,"X790",1,0,2,1,3,0,24,4,1,7,3,3
2004,"X790",2,0,0,1,1,0,7,1,0,1,1,2
2004,"X800",1,0,0,7,12,0,57,13,8,6,4,7
2004,"X800",2,0,1,3,0,0,34,3,4,14,3,6
2004,"X810",1,0,0,0,0,0,1,0,0,1,0,0
2004,"X820",1,0,0,0,0,0,1,1,0,0,0,0
2004,"X830",1,0,0,0,1,0,7,1,3,2,0,0
2004,"X840",1,0,0,2,9,0,65,15,11,18,6,4
2004,"X840",2,0,0,5,3,0,28,2,4,10,1,3
1996,"X600",2,0,0,0,0,0,1,0,1,0,0,0
1996,"X610",1,0,0,0,0,0,1,0,1,0,0,0
1996,"X610",2,0,0,0,1,0,3,1,0,1,0,0
1996,"X640",1,0,0,0,1,1,6,1,2,0,0,1
1996,"X640",2,0,0,1,2,0,5,0,2,0,0,0
1996,"X650",2,0,0,0,0,0,1,0,1,0,0,0
1996,"X680",1,0,0,1,2,0,14,5,3,3,0,0
1996,"X680",2,0,0,2,0,0,7,1,3,0,0,1
1996,"X690",1,0,0,2,2,0,15,5,2,3,1,0
1996,"X690",2,0,0,0,1,0,2,1,0,0,0,0
1996,"X700",1,1,4,22,36,1,242,55,54,39,18,12
1996,"X700",2,0,1,12,10,0,60,10,5,17,3,2
1996,"X720",1,0,0,1,4,0,23,8,6,2,1,1
1996,"X720",2,0,0,2,1,0,8,1,1,3,0,0
1996,"X730",1,0,1,0,0,0,7,2,3,1,0,0
1996,"X740",1,0,0,7,8,0,50,11,9,8,2,5
1996,"X740",2,0,0,2,3,0,12,4,2,1,0,0
1996,"X760",1,0,0,1,0,1,5,1,0,2,0,0
1996,"X760",2,0,0,0,0,0,5,1,1,0,2,1
1996,"X780",1,0,0,1,5,1,26,8,3,5,1,2
1996,"X780",2,0,0,0,0,0,1,1,0,0,0,0
1996,"X790",1,0,0,0,0,0,1,0,0,0,0,1
1996,"X800",1,0,0,0,0,0,2,2,0,0,0,0
1996,"X800",2,0,1,1,0,0,3,1,0,0,0,0
1996,"X830",1,0,0,0,0,0,1,0,0,1,0,0
1996,"X840",1,0,0,0,3,0,18,6,4,2,0,3
1996,"X840",2,0,0,0,1,0,3,1,1,0,0,0
1997,"X600",1,0,0,0,1,0,1,0,0,0,0,0
1997,"X600",2,0,0,0,0,0,1,1,0,0,0,0
1997,"X610",1,0,0,0,1,0,1,0,0,0,0,0
1997,"X610",2,0,0,1,0,0,3,2,0,0,0,0
1997,"X640",1,0,0,0,0,0,6,3,0,3,0,0
1997,"X640",2,0,0,1,3,0,6,1,0,1,0,0
1997,"X650",1,0,0,0,0,0,1,0,0,1,0,0
1997,"X680",1,0,0,0,0,0,14,0,8,4,2,0
1997,"X680",2,0,0,5,2,0,8,0,0,0,1,0
1997,"X690",1,0,0,2,3,0,16,6,4,1,0,0
1997,"X690",2,0,2,1,2,0,8,1,0,2,0,0
1997,"X700",1,0,4,31,29,3,304,86,46,48,30,27
1997,"X700",2,0,5,9,8,1,69,10,11,14,6,5
1997,"X710",1,0,0,1,0,1,3,0,0,1,0,0
1997,"X710",2,0,0,0,0,0,1,0,0,0,1,0
1997,"X720",1,0,0,4,5,0,20,3,3,2,1,2
1997,"X720",2,0,0,1,0,0,3,1,1,0,0,0
1997,"X730",1,0,0,2,1,0,3,0,0,0,0,0
1997,"X730",2,0,0,1,0,0,1,0,0,0,0,0
1997,"X740",1,0,1,4,21,0,78,17,13,12,2,8
1997,"X740",2,0,4,5,3,0,16,0,3,1,0,0
1997,"X760",1,0,0,0,0,0,4,1,1,2,0,0
1997,"X760",2,0,0,0,0,0,7,2,2,0,1,2
1997,"X780",1,0,0,0,0,0,5,1,3,1,0,0
1997,"X790",1,0,0,0,0,0,1,0,0,0,1,0
1997,"X790",2,0,0,0,1,0,1,0,0,0,0,0
1997,"X800",1,0,0,0,0,0,3,0,1,1,0,1
1997,"X800",2,0,0,0,0,0,3,2,1,0,0,0
1997,"X830",1,0,0,0,0,0,1,1,0,0,0,0
1997,"X840",1,0,0,0,3,0,12,2,1,2,2,2
1997,"X840",2,0,0,1,0,0,3,0,0,1,0,1
1998,"X600",1,0,0,0,0,0,1,1,0,0,0,0
1998,"X610",1,0,0,0,0,0,1,0,1,0,0,0
1998,"X610",2,0,0,2,0,0,5,1,1,0,0,1
1998,"X630",1,0,0,0,2,0,2,0,0,0,0,0
1998,"X630",2,0,0,0,0,0,1,0,1,0,0,0
1998,"X640",1,0,0,1,1,0,14,6,5,1,0,0
1998,"X640",2,0,0,0,2,0,5,0,1,2,0,0
1998,"X670",1,0,0,1,0,0,1,0,0,0,0,0
1998,"X680",1,0,0,0,2,0,14,3,4,3,1,1
1998,"X680",2,0,0,2,3,0,8,3,0,0,0,0
1998,"X690",1,0,1,2,2,0,22,8,3,5,1,0
1998,"X690",2,0,1,3,2,0,12,3,1,2,0,0
1998,"X700",1,1,8,29,46,1,307,61,58,52,27,24
1998,"X700",2,0,4,8,14,0,96,21,13,21,9,6
1998,"X710",1,0,0,0,0,0,1,0,0,0,0,1
1998,"X710",2,0,0,0,0,0,1,0,0,1,0,0
1998,"X720",1,0,1,1,2,0,18,6,2,2,1,3
1998,"X720",2,0,1,0,0,0,2,1,0,0,0,0
1998,"X730",1,0,0,0,0,0,6,4,0,1,1,0
1998,"X730",2,0,0,0,1,0,1,0,0,0,0,0
1998,"X740",1,0,0,11,9,1,61,14,8,11,4,3
1998,"X740",2,0,2,0,1,0,9,3,2,1,0,0
1998,"X760",1,0,0,1,0,0,2,0,0,1,0,0
1998,"X760",2,0,0,0,0,0,4,0,1,0,0,3
1998,"X780",1,0,0,1,1,0,7,3,1,1,0,0
1998,"X780",2,0,0,0,0,0,2,0,0,1,0,1
1998,"X790",1,0,0,0,0,0,1,0,0,1,0,0
1998,"X800",1,0,0,1,0,0,3,0,1,1,0,0
1998,"X800",2,0,0,1,0,0,4,1,1,0,0,1
1998,"X840",1,0,0,0,1,0,15,9,2,0,2,1
1998,"X840",2,0,1,2,1,0,11,3,1,2,0,1
1999,"X610",1,0,0,0,1,0,1,0,0,0,0,0
1999,"X630",1,0,0,1,0,0,1,0,0,0,0,0
1999,"X640",1,0,0,4,1,0,15,3,3,2,2,0
1999,"X640",2,0,0,3,0,0,7,2,1,1,0,0
1999,"X650",1,0,0,0,1,0,1,0,0,0,0,0
1999,"X680",1,0,1,2,2,0,26,13,5,1,2,0
1999,"X680",2,0,1,4,0,0,13,6,2,0,0,0
1999,"X690",1,0,0,2,1,0,11,5,2,1,0,0
1999,"X690",2,0,0,1,0,0,3,0,1,1,0,0
